list_name,name,label,order
eb2oc45,siliciclastic,siliciclastic,
eb2oc45,limestone,limestone,1
eb2oc45,dolostone,dolostone,2
eb2oc45,organic_coal,organic/coal,3
eb2oc45,evaporite,evaporite,4
eb2oc45,chert,chert,5
eb2oc45,ironstone,ironstone,6
eb2oc45,phosphatic,phosphatic,7
eb2oc45,volcaniclastic,volcaniclastic,8
gb31w57,claystone,claystone,
gb31w57,mudstone,mudstone,
gb31w57,shale,shale,
gb31w57,siltstone,siltstone,
gb31w57,sandstone,sandstone,
gb31w57,conglomerate,conglomerate,
gb31w57,breccia,breccia,
qf3ff03,mudstone,mudstone,
qf3ff03,wackestone,wackestone,
qf3ff03,packstone,packstone,
qf3ff03,grainstone,grainstone,
qf3ff03,boundstone,boundstone,
qf3ff03,cementstone,cementstone,
qf3ff03,recrystallized,recrystallized,
qf3ff03,floatstone,floatstone,
qf3ff03,rudstone,rudstone,
qf3ff03,framestone,framestone,
qf3ff03,bafflestone,bafflestone,
qf3ff03,bindstone,bindstone,
ye65k64,oolitic,oolitic,
ye65k64,non_skeletal,non-skeletal,
ye65k64,skeletal,skeletal,
gg6bk97,gyp_anhyd_prim,gypsum - anhydrite primary,
gg6bk97,gyp_anhyd_dia,gypsum - anhydrite diagenetic,
gg6bk97,halite_primary,halite - primary,
gg6bk97,halite_diagene,halite - diagenetic,
gg6bk97,other,other,
om8xr30,amber,amber,
om8xr30,peat,peat,
om8xr30,lignite,lignite,
om8xr30,subbituminous,subbituminous,
om8xr30,bituminous,bituminous,
om8xr30,coal_ball,coal ball,
om8xr30,tar,tar,
om8xr30,other,other,
so29n97,volcanic_mudst,volcanic mudstone,
so29n97,volcanic_sands,volcanic sandstone,
so29n97,lapillistone,lapillistone,
so29n97,agglomerate,agglomerate,
so29n97,volcanic_brecc,volcanic breccia,
so29n97,bentonite,bentonite,
so29n97,tuff,tuff,
so29n97,welded_tuff,welded tuff,
so29n97,ignimbrite,ignimbrite,
so29n97,other,other,
uh44f36,pumice,pumice,
uh44f36,accidental_lit,accidental lithic,
uh44f36,accessory_lith,accessory lithic,
uh44f36,glass_obsidian,glass/obsidian,
uh44f36,crystals,crystals,
uh44f36,accretionary_l,accretionary lapilli,
mo7ce83,nodular,nodular,
mo7ce83,bedded,bedded,
mo7ce83,massive,massive,
mo7ce83,other,other,
wc2ju40,1,1 - least resistant,
wc2ju40,2,2,
wc2ju40,3,3 - moderately resistant,
wc2ju40,4,4,
wc2ju40,5,5 - most resistant,
wa8pw49,lithified,lithified,
wa8pw49,poorly_lithifi,poorly lithified,
wa8pw49,unlithified_un,unlithified/unconsolidated,
wa8pw49,metamorphosed,metamorphosed,
qx0wn31,uniform,uniform,
qx0wn31,patchy,patchy,
qx0wn31,striped,striped,
qx0wn31,mottled,mottled,
qx0wn31,spotted,spotted,
qx0wn31,gradational,gradational,
qx0wn31,other,other,
