type,name,label,hint,required,relevant,appearance,default,constraint,calculation
start,start,,,,,,,,
end,end,,,,,,,,
acknowledge,trace_feature,Trace Feature,,false,,,,,
select_one wb5nf41,trace_quality,Trace Quality,"Quality of trace? Known, approximate, inferred, concealed, questioned",false,${trace_feature} != '',horizontal,,,
text,other_trace_quality,Other Trace Quality,,false,${trace_quality} = 'other',,,,
select_one pl5yo85,trace_type,Trace Type,"contact (unconformity), structure (fault), geomorphic, anthropogenic, other",true,${trace_feature} != '',,,,
select_one lx9ax28,contact_type,Contact Type,"depositional, metamorphic, igneous, marker, other",false,${trace_type} = 'contact',horizontal,,,
text,other_contact_type,Other Contact Type,,true,${contact_type} = 'other',,,,
select_one bi4sw60,depositional_contact_type,Depositional Contact Type,"stratigraphic, alluvial, unconformities",false,${contact_type} = 'depositional',horizontal,,,
text,other_depositional_type,Other Depositional Contact,,true,${depositional_contact_type} = 'other',,,,
select_one cj4zw02,intrusive_contact_type,Intrusive Contact Type,"dike, sill, pluton, migmatite, injectite",false,${contact_type} = 'intrusive',horizontal,,,
text,other_intrusive_contact,Other Intrusive Contact,,true,${intrusive_contact_type} = 'unknown',,,,
select_one pb5wo52,metamorphic_contact_type,Metamorphic Contact Type,"between layers, isograd, other",false,${contact_type} = 'metamorphic',horizontal-compact,,,
text,other_metamorphic_contact,Other Metamorphic Contact,,true,${metamorphic_contact_type} = 'other',,,,
text,marker_layer_details,Marker Layer Details,,false,${contact_type} = 'marker_layer',multiline,,,
select_one iz4fr14,geologic_structure_type,Geologic Structure Type,"fault, shear zone, axial trace",true,${trace_type} = 'geologic_struc',,,,
select_one os1df47,shear_sense,Shear Sense,"dextral, sinistral, normal, reverse, oblique",false,${geologic_structure_type} = 'fault' or ${geologic_structure_type} = 'shear_zone' or ${geologic_structure_type} = 'deformation_zo',horizontal-compact,not_specified,,
text,other_shear_sense,Other Shear Sense,,true,${shear_sense} = 'other',,,,
select_one hz6ha86,other_structural_zones,Other Structural Zones,"deformation band; fracture, damage, alteration zones, domain boundary",true,${geologic_structure_type} = 'other_structur',,,,
text,other_other_structural_zone,Other Other Structural Zone,,true,${other_structural_zones} = 'other',,,,
select_one wg6ry31,fold_type,Fold Type,What is the shape of the fold when looking down-plunge?,false,${geologic_structure_type} = 'fold_axial_tra',horizontal,,,
text,other_fold_type,Other Fold Type,,true,${fold_type} = 'unknown',,,,
select_one iq4bx64,fold_attitude,Fold Attitude,"Orientation of fold: pluging, upright, overturned, etc.",false,${geologic_structure_type} = 'fold_axial_tra',horizontal,,,
text,other_fold_attitude,Other Fold Attitude,,true,${fold_attitude} = 'other',,,,
select_one er5hu03,geomorphic_feature,Geomorphic Feature,"gully, ridge, rill, striation, stream, shoreline",true,${trace_type} = 'geomorphic_fea',,,,
text,other_geomorphic_feature,Other Geomorphic Feature,,true,${geomorphic_feature} = 'other',,,,
select_one gw8je20,antropogenic_feature,Antropogenic Feature,"fence, property line, road, trail, other",true,${trace_type} = 'anthropenic_fe',,,,
text,other_anthropogenic_feature,Other Anthropogenic Feature,,true,${antropogenic_feature} = 'other',,,,
decimal,length_of_scale_bar,Length of Scale Bar,,false,${trace_type} = 'scale_bar',,,. > 0,
select_one vt86z05,units_of_image_view,Units of Scale Bar,,true,${length_of_scale_bar} != '',,,,
select_one lh87q41,other_feature,Other Feature,extent of mapping or biological marker,true,${trace_type} = 'other_feature',,,,
text,other_other_feature,Other Other Features,,true,${other_feature} = 'other',,,,
select_one rd1pp06,trace_character,Trace Character,"sharp, gradational, chilled, brecciated, other",false,${contact_type} = 'depositional' or ${contact_type} = 'intrusive' or ${contact_type} = 'metamorphic',horizontal,,,
text,other_trace_character,Other Trace Character,,true,${trace_character} = 'other',,,,
text,tace_notes,Trace Notes,,false,${trace_feature} != '',multiline,,,
calculate,__version__,,,,,,,,'v3suZcfr3TA3dA5fGpftrD'
