type,name,label,hint,required,relevant,appearance,constraint_message,constraint,calculation,$given_name
start,start,,,,,,,,,
end,end,,,,,,,,,
text,unit_label_abbreviation,Unit Label (abbreviation),,true,,,,,,
text,map_unit_name,Unit or Formation Name,,false,,,,,,
text,member_name,Member Name,,false,${map_unit_name} != '',,,,,
text,submember_name,Submember Name,,false,${member_name} != '',,,,,
begin_group,group_unit_type,Unit Type,,,,,,,,
select_one rm0pv08,rock_type,Rock Type,"Type: sedimentary, igneous, metamorphic, or sediment",false,,horizontal,,,,
select_one ej6zw88,sediment_type,Sediment Type,Specific type of sediment,false,${rock_type} = 'sediment',horizontal,,,,
text,other_sediment_type,Other Sediment Type,,true,${sediment_type} = 'other',,,,,
select_one bt4yo56,sedimentary_rock_type,Sedimentary Rock Type,Specific type of sedimentary rock,false,${rock_type} = 'sedimentary',horizontal,,,,
text,other_sedimentary_rock_type,Other Sedimentary Rock Type,,true,${sedimentary_rock_type} = 'other',,,,,
select_one nm4yc64,igneous_rock_class,Igneous Rock Class,"Volcanic, hypabyssal or plutonic",false,${rock_type} = 'igneous',horizontal,,,,
select_one gw1hp47,volcanic_rock_type,Volcanic Rock Type,Specific volcanic rock type,false,${igneous_rock_class} = 'volcanic' or ${igneous_rock_class} = 'hypabyssal',horizontal,,,,
text,other_volcanic_rock_type,Other Volcanic Rock Type,,true,${volcanic_rock_type} = 'other',,,,,
select_one pu9hj08,plutonic_rock_types,Plutonic Rock Types,Specific plutonic rock type,false,${igneous_rock_class} = 'plutonic',horizontal,,,,
text,other_plutonic_rock_type,Other Plutonic Rock Type,,true,${plutonic_rock_types} = 'other',,,,,
select_one yg0ew35,metamorphic_rock_types,Metamorphic Rock Types,Specific metamorphic rock type,false,${rock_type} = 'metamorphic',,,,,
text,other_metamorphic_rock_type,Other Metamorphic Rock Type,,true,${metamorphic_rock_types} = 'other',,,,,
select_one ak6ci54,metamorphic_grade,Metamorphic Grade,Specific metamorphic grade,false,${rock_type} = 'metamorphic',,,,,
end_group,,,,,,,,,,
begin_group,group_geologic_age,Geologic Age,,,,,,,,
select_multiple fy5ep25,eon,Eon,Specific geologic time eon,false,,horizontal,,,,
select_multiple dy8di07,era_phanerozoic,Era Phanerozoic,,false,"selected(${eon}, 'phanerozoic')",horizontal,,,,
select_multiple xw5wu04,period_cenozoic,Period Cenozoic,Specific geologic time period,false,"selected(${era_phanerozoic}, 'cenozoic')",horizontal,,,,
select_multiple xw5wu05,epoch_quaternary,Epoch Quaternary,,false,"selected(${period_cenozoic}, 'quaternary')",horizontal,,,,
select_multiple lb3hh57,age_pleistocene,Age Pleistocene,,false,"selected(${epoch_quaternary}, 'pleistocene')",horizontal,,,,
select_multiple xw5wu11,epoch_neogene,Epoch Neogene,,false,"selected(${period_cenozoic}, 'neogene')",horizontal,,,,
select_multiple lb3hh62,age_pliocene,Age Pliocene,,false,"selected(${epoch_neogene}, 'pliocene')",horizontal,,,,
select_multiple lb3hh58,age_miocene,Age Miocene,,false,"selected(${epoch_neogene}, 'miocene')",horizontal,,,,
